rank,net_worth,full_name,age,gender,country_of_citizenship,city_of_residence,business_category,self_made,wealth_status
1272,2,Chen Tei-fu,74,Male,Taiwan,Los Angeles,Fashion & Retail,True,Decreased
1272,2,Abilio dos Santos Diniz,86,Male,Brazil,Sao Paulo,Fashion & Retail,False,Decreased
1272,2,Marcel Erni,58,Male,Switzerland,Zug,Finance & Investments,True,Decreased
1272,2,Doris Fisher,91,Female,United States,San Francisco,Fashion & Retail,True,Decreased
1272,2,Gerald Ford,78,Male,United States,Dallas,Finance & Investments,True,Decreased
1272,2,Bernard Fraisse & family,66,Male,France,Paris,Healthcare,True,Remained Even
1272,2,Alfred Gantner,55,Male,Switzerland,Zug,Finance & Investments,True,Decreased
1272,2,Paul Gauselmann & family,88,Male,Germany,Espelkamp,Gambling & Casinos,True,Decreased
1272,2,Mitchell Goldhar,61,Male,Canada,North York,Real Estate,True,Decreased
1272,2,Peter Hargreaves,76,Male,United Kingdom,Bristol,Finance & Investments,True,Decreased
1272,2,Xuande Hua & family,79,Male,China,Taizhou,Healthcare,True,Decreased
1272,2,Kwek Leng Kee,68,Male,Singapore,Singapore,Diversified,False,Increased
1272,2,Catherine Lozick,77,Female,United States,Fort Lauderdale,Manufacturing,False,Increased
1272,2,Kalanithi Maran,57,Male,India,Chennai,Media & Entertainment,True,Remained Even
1272,2,Jed McCaleb,48,Male,United States,Berkeley,Finance & Investments,True,Decreased
1272,2,Fatih Ozmen,65,Male,United States,Reno,Manufacturing,True,Decreased
1272,2,Tor Peterson,58,Male,United States,Zug,Metals & Mining,True,Decreased
1272,2,Daniel Pritzker,63,Male,United States,Marin County,Finance & Investments,False,Decreased
1272,2,Jinxing Qi,61,Male,China,Hangzhou,Real Estate,True,Increased
1272,2,Qiu Jianping & family,61,Male,China,Hangzhou,Manufacturing,True,Increased
1272,2,Rajan Raheja & family,68,Male,India,Mumbai,Diversified,False,Remained Even
1272,2,Matthias Reinhart,63,Male,Switzerland,Zurich,Finance & Investments,True,Decreased
1272,2,Arnout Schuijff,55,Male,Netherlands,Amsterdam,Technology,True,Decreased
1272,2,Hans Sy,67,Male,Philippines,Manila,Diversified,False,Decreased
1272,2,Herbert Sy,66,Male,Philippines,Manila,Diversified,False,Decreased
1272,2,Lucio Tan,88,Male,Philippines,Manila,Diversified,True,Increased
1272,2,Tsai Ming-kai,72,Male,Taiwan,Hsinchu,Technology,True,Decreased
1272,2,Ted Turner,84,Male,United States,Atlanta,Media & Entertainment,False,Increased
1272,2,David Walentas,84,Male,United States,New York,Real Estate,True,Increased
1272,2,Urs Wietlisbach,61,Male,Switzerland,Zug,Finance & Investments,True,Decreased
1272,2,Jerry Yang,54,Male,United States,Los Altos Hills,Technology,True,Decreased
1272,2,Yang Jianliang & family,53,Male,China,Wuxi,Manufacturing,True,Decreased
1272,2,Yang Weidong & family,54,Male,China,Jiaxing,Manufacturing,True,Decreased
1272,2,Mortimer Zuckerman,85,Male,United States,New York,Real Estate,True,Decreased
1312,2,John Armitage,63,Male,Ireland,London,Finance & Investments,True,Decreased
1312,2,Lee Bass,66,Male,United States,Fort Worth,Energy,False,Increased
1312,2,John Bicket,43,Male,United States,San Francisco,Technology,True,Increased
1312,2,Sanjit Biswas,41,Male,United States,San Francisco,Technology,True,Increased
1312,2,Timothy Boyle,73,Male,United States,Portland,Fashion & Retail,True,Remained Even
1312,2,Morris Chang,91,Male,Taiwan,Hsinchu,Technology,True,Decreased
1312,2,Chao Teng-hsiung,78,Male,Taiwan,Taipei,Real Estate,True,Decreased
1312,2,Chu Lam Yiu,53,Female,Hong Kong,Hong Kong,Manufacturing,True,Remained Even
1312,2,K. Dinesh,68,Male,India,Bangalore,Technology,True,Decreased
1312,2,James Duff,62,Male,United States,Hattiesburg,Diversified,True,Increased
1312,2,Thomas Duff,66,Male,United States,Hattiesburg,Diversified,True,Increased
1312,2,Daniel Ek,40,Male,Sweden,Stockholm,Technology,True,Decreased
1312,2,John Fisher,61,Male,United States,San Francisco,Fashion & Retail,False,Decreased
1312,2,Georg Haub,61,Male,Germany,Berlin,Fashion & Retail,False,Increased
1312,2,Erman Ilicak,55,Male,Turkey,Ankara,Construction & Engineering,True,Remained Even
1312,2,Justin Ishbia,45,Male,United States,Chicago,Finance & Investments,False,Increased
1312,2,Long Jiang,49,Male,China,Weifang,Technology,True,Increased
1312,2,Bruce Karsh,67,Male,United States,Los Angeles,Finance & Investments,True,Increased
1312,2,Bom Kim,44,Male,United States,Seoul,Technology,True,Decreased
1312,2,Lam Kong,58,Male,China,Hong Kong,Healthcare,True,Decreased
1312,2,Stephen Lansdown,70,Male,Guernsey,St. Peter Port,Finance & Investments,True,Decreased
1312,2,Hua Li,45,Male,China,Shenzhen,Finance & Investments,True,Increased
1312,2,Lim Kok Thay,71,Male,Malaysia,Kuala Lumpur,Gambling & Casinos,False,Increased
1312,2,Kishore Mariwala,88,Male,India,Mumbai,Food & Beverage,False,Decreased
1312,2,Clayton Mathile,82,Male,United States,Brookville,Food & Beverage,True,Remained Even
1312,2,Mi Enhua,65,Male,China,Urumqi,Fashion & Retail,True,Decreased
1312,2,Vadim Moshkovich,55,Male,Russia,Moscow,Food & Beverage,True,Increased
1312,2,David Murdock,99,Male,United States,Ventura,Food & Beverage,True,Remained Even
1312,2,David Nahmad,75,Male,Monaco,New York,Fashion & Retail,True,Increased
1312,2,Lirio Parisotto,69,Male,Brazil,Manaus,Finance & Investments,True,Decreased
1312,2,Alberto Prada,69,Male,Italy,Milan,Fashion & Retail,False,Increased
1312,2,Marina Prada,77,Female,Italy,Milan,Fashion & Retail,False,Increased
1312,2,Filiz Sahenk,56,Female,Turkey,Istanbul,Diversified,False,Increased
1312,2,Stephan Schmidheiny,75,Male,Switzerland,Hurden,Finance & Investments,False,Remained Even
1312,2,Alberto Siccardi & family,78,Male,Switzerland,Lugano,Healthcare,False,Decreased
1312,2,Tang Yiu,89,Male,Hong Kong,Hong Kong,Fashion & Retail,True,Decreased
1312,2,Tian Ming,69,Male,China,Hefei,Technology,True,Increased
1312,2,T.Y. Tsai,70,Male,Taiwan,Taipei,Finance & Investments,False,Decreased
1312,2,Jayshree Ullal,62,Female,United States,Saratoga,Technology,True,Increased
1312,2,Georg von Opel,56,Male,Switzerland,London,Finance & Investments,False,Increased
1312,2,Lang Walker,77,Male,Australia,Sydney,Real Estate,True,Increased
1312,2,Xicheng Wang & family,74,Male,China,Zhaoyuan,Manufacturing,True,Decreased
1312,2,Wang Zhenhua,61,Male,China,Shanghai,Real Estate,True,Decreased
1312,2,Paul-Heinz Wesjohann & family,79,Male,Germany,Rechterfeld,Food & Beverage,True,Decreased
1312,2,Xie Bingkun & family,56,Male,China,Fuzhou,Fashion & Retail,True,Increased
1312,2,Xu Shugen,57,Male,China,Hangzhou,Manufacturing,True,Increased
1312,2,Christoph Zeller,65,Male,Liechtenstein,Vaduz,Healthcare,False,Remained Even
1312,2,Zhang Jingzhang & family,87,Male,China,Ningbo,Manufacturing,True,Increased
1368,2,George Argyros & family,86,Male,United States,Newport Beach,Real Estate,True,Decreased
1368,2,Brian Armstrong,40,Male,United States,San Francisco,Finance & Investments,True,Decreased
1368,2,Albert Avdolyan,52,Male,Russia,Moscow,Energy,True,Returned to List
1368,2,Sezai Bacaksiz,73,Male,Turkey,Ankara,Diversified,True,Increased
1368,2,Aneel Bhusri,57,Male,United States,San Francisco,Technology,True,Decreased
1368,2,Brett Blundy,63,Male,Australia,Paradise Island,Fashion & Retail,True,Remained Even
1368,2,J. Hyatt Brown,85,Male,United States,Ormond Beach,Finance & Investments,False,Decreased
1368,2,Chen Jinxia,55,Female,China,Shanghai,Finance & Investments,False,Decreased
1368,2,Chen Xueli,71,Male,China,Weihai,Healthcare,True,Increased
1368,2,Dermot Desmond,72,Male,Ireland,Dublin,Finance & Investments,True,Increased
1368,2,Dong Wei,52,Male,China,Lianyungang,Healthcare,True,Decreased
1368,2,Fu Guangming & family,69,Male,China,Nanping,Food & Beverage,True,Increased
1368,2,Noam Gottesman,61,Male,United States,New York,Finance & Investments,True,Decreased
1368,2,Jeffrey Gundlach,64,Male,United States,Los Angeles,Finance & Investments,True,Remained Even
1368,2,Hao Hong,67,Male,United States,Tianjin,Healthcare,True,Decreased
1368,2,Shmuel Harlap,78,Male,Israel,Tel Aviv,Automotive,False,Increased
1368,2,Hans-Werner Hector,83,Male,Germany,Weinheim,Technology,True,Decreased
1368,2,Lutz Mario Helmig & family,76,Male,Germany,Grebenhain,Healthcare,True,Increased
1368,2,Chulong Huang,64,Male,Canada,Shenzhen,Real Estate,True,Decreased
1368,2,Thomas James,80,Male,United States,Saint Petersburg,Finance & Investments,False,Increased
1368,2,James Jannard,73,Male,United States,San Juan Islands,Fashion & Retail,True,Decreased
1368,2,Willis Johnson,75,Male,United States,Franklin,Automotive,True,Increased
1368,2,Lai Shixian,48,Male,China,Quanzhou,Fashion & Retail,True,Increased
1368,2,Chris Larsen,62,Male,United States,San Francisco,Finance & Investments,True,Decreased
1368,2,Solomon Lew,78,Male,Australia,Melbourne,Fashion & Retail,True,Decreased
1368,2,Liang Xinjun,55,Male,China,Shanghai,Diversified,True,Remained Even
1368,2,Harald Link,68,Male,Thailand,Bangkok,Diversified,False,Increased
1368,2,Max Lytvyn,43,Male,Canada,San Francisco,Technology,True,Decreased
1368,2,Igor Makarov,60,Male,Cyprus,Miami,Energy,True,Increased
1368,2,Howard Marks,76,Male,United States,New York,Finance & Investments,True,Remained Even
1368,2,Charles Munger,99,Male,United States,Los Angeles,Finance & Investments,True,Decreased
1368,2,Adam Neumann,44,Male,Israel,Miami,Real Estate,True,Increased
1368,2,Thi Phuong Thao Nguyen,52,Female,Vietnam,Ho Chi Minh City,Diversified,True,Decreased
1368,2,Ni Yongpei & family,71,Male,China,Liuan,Food & Beverage,True,Decreased
1368,2,Heloise Pratt,60,Female,Australia,Melbourne,Manufacturing,False,Decreased
1368,2,Qi Xiangdong,52,Male,China,Beijing,Technology,True,Increased
1368,2,Phillip T. (Terry) Ragon,73,Male,United States,Boston,Technology,True,Increased
1368,2,Prathap Reddy,91,Male,India,Chennai,Healthcare,True,Decreased
1368,2,Jerry Reinsdorf,87,Male,United States,Chicago,Sports,True,Increased
1368,2,Chad Richison,52,Male,United States,Edmond,Technology,True,Decreased
1368,2,"Karl Scheufele, III. & family",84,Male,Switzerland,Geneva,Fashion & Retail,True,Increased
1368,2,Alice Schwartz,96,Female,United States,El Cerrito,Healthcare,True,Increased
1368,2,Kavitark Ram Shriram,66,Male,United States,Menlo Park,Technology,True,Decreased
1368,2,William Stone,67,Male,United States,East Lyme,Technology,True,Decreased
1368,2,Henry Swieca,65,Male,United States,New York,Finance & Investments,True,Increased
1368,2,Harley Sy,63,Male,Philippines,Manila,Diversified,False,Decreased
1368,2,Teresita Sy-Coson,72,Female,Philippines,Manila,Diversified,False,Decreased
1368,2,Katsumi Tada,77,Male,Japan,Tokyo,Real Estate,True,Decreased
1368,2,Tang Jinkui & family,67,Male,China,Suzhou,Manufacturing,True,Decreased
1368,2,Tang Xiao'ou,55,Male,Hong Kong,Shanghai,Technology,True,Decreased
1368,2,Lottie Tham & family,73,Female,Sweden,Stockholm,Fashion & Retail,False,Decreased
1368,2,Shamsheer Vayalil,46,Male,India,Abu Dhabi,Healthcare,False,Returned to List
1368,2,Radha Vembu,50,Female,India,Chennai,Technology,False,Increased
1368,2,Wang Wenmo,66,Male,China,Quanzhou,Fashion & Retail,True,Increased
1368,2,Wang Zhenghua,78,Male,China,Shanghai,Service,True,Increased
1368,2,Kai Wu,55,Male,China,Ningde,Energy,True,Decreased
1368,2,Xu Yingzhuo,55,Male,China,Guangzhou,Food & Beverage,True,Decreased
1368,2,Yeung Kin-man,59,Male,Hong Kong,Hong Kong,Manufacturing,True,Decreased
1368,2,Huijiao Yu,57,Male,China,Shanghai,Logistics,True,Decreased
1368,2,Oren Zeev,58,Male,Israel,Los Altos,Finance & Investments,True,Decreased
1368,2,Clayton Zekelman,54,Male,Canada,Windsor,Manufacturing,False,Increased
1368,2,Zhao Fenggang,57,Male,China,Ningde,Energy,True,Decreased
1434,2,Alex Beard,55,Male,United Kingdom,London,Metals & Mining,True,Decreased
1434,2,Travis Boersma,52,Male,United States,Grants Pass,Food & Beverage,True,Decreased
1434,2,William Boyd & family,91,Male,United States,Las Vegas,Gambling & Casinos,True,Decreased
1434,2,Anand Burman,70,Male,India,Delhi,Food & Beverage,False,Decreased
1434,2,Cao Ji,71,Male,China,Hangzhou,Manufacturing,True,Decreased
1434,2,Bruce Cheng,86,Male,Taiwan,Taipei,Technology,True,Remained Even
1434,2,Chi Yufeng,52,Male,China,Beijing,Technology,False,Increased
1434,2,Daniel Chiu,62,Male,Hong Kong,Hong Kong,Energy,True,Increased
1434,2,Beda Diethelm,82,Male,Switzerland,Zurich,Healthcare,True,Decreased
1434,2,Domenico Dolce,64,Male,Italy,Milan,Fashion & Retail,True,Increased
1434,2,Ralph Dommermuth,59,Male,Germany,Montabaur,Technology,True,Decreased
1434,2,Georgi Domuschiev,50,Male,Bulgaria,London,Diversified,True,Increased
1434,2,Kiril Domuschiev,53,Male,Bulgaria,London,Diversified,True,Increased
1434,2,Bob Ell,78,Male,Australia,Surfers Paradise,Real Estate,True,Remained Even
1434,2,Paul Foster,65,Male,United States,El Paso,Energy,True,Increased
1434,2,Stefano Gabbana,60,Male,Italy,Milan,Fashion & Retail,True,Increased
1434,2,Xingjiang Gao,59,Male,China,Huzhou,Manufacturing,True,Decreased
1434,2,Gordon Getty,89,Male,United States,San Francisco,Energy,False,Remained Even
1434,2,Dennis Gillings,78,Male,United Kingdom,Durham,Healthcare,True,Remained Even
1434,2,Harsh Goenka,65,Male,India,Mumbai,Diversified,False,Remained Even
1434,2,Sanjiv Goenka,62,Male,India,Kolkata,Diversified,False,Decreased
1434,2,Jane Goldman,67,Female,United States,New York,Real Estate,False,Decreased
1434,2,Stein Erik Hagen,66,Male,Norway,Oslo,Fashion & Retail,True,Decreased
1434,2,Bahaa Hariri,56,Male,Lebanon,Geneva,Real Estate,False,Remained Even
1434,2,Hortensia Herrero,72,Female,Spain,Valencia,Fashion & Retail,False,Decreased
1434,2,Douglas Hsu,80,Male,Taiwan,Taipei,Diversified,False,Decreased
1434,2,Huang Min,49,Male,China,Suzhou,Manufacturing,True,Increased
1434,2,Jared Isaacman,40,Male,United States,Easton,Technology,True,Increased
1434,2,Eugene Kaspersky,57,Male,Russia,Moscow,Technology,True,Increased
1434,2,Artem Khachatryan,48,Male,Russia,Limassol,Fashion & Retail,True,Returned to List
1434,2,Thomas Kwok,71,Male,Hong Kong,Hong Kong,Real Estate,False,Increased
1434,2,Marc Lasry,62,Male,United States,New York,Finance & Investments,True,Increased
1434,2,Christian Latouche & family,82,Male,France,Lyon,Finance & Investments,True,Decreased
1434,2,Theodore Leonsis,67,Male,United States,Bethesda,Sports,True,Increased
1434,2,Lin Chang Su-O,82,Female,Taiwan,Taipei,Real Estate,False,Decreased
1434,2,Liu Chengyu & family,60,Male,China,Shenzhen,Manufacturing,True,Increased
1434,2,Sergey Lomakin,49,Male,Russia,Paphos,Fashion & Retail,True,Returned to List
1434,2,Daniel Lubetzky,54,Male,United States,New York,Food & Beverage,True,Decreased
1434,2,Anand Mahindra,67,Male,India,Mumbai,Diversified,False,Increased
1434,2,Rafique Malik,72,Male,India,Mumbai,Fashion & Retail,False,Increased
1434,2,Katarina Martinson,41,Female,Sweden,Stockholm,Diversified,False,Increased
1434,2,Kiran Mazumdar-Shaw,70,Female,India,Bangalore,Healthcare,True,Decreased
1434,2,Nirmal Minda,65,Male,India,Gurgaon,Automotive,False,Decreased
1434,2,Mu Rongjun,43,Male,China,Beijing,Technology,True,Decreased
1434,2,Eugene Murtagh,80,Male,Ireland,Kingscourt,Manufacturing,True,Decreased
1434,2,Alexander Nesis,60,Male,Russia,Moscow,Finance & Investments,True,Increased
1434,2,Zugen Ni,66,Male,China,Suzhou,Manufacturing,True,Increased
1434,2,Florentino Perez,76,Male,Spain,Madrid,Construction & Engineering,True,Increased
1434,2,Victor Pinchuk,62,Male,Ukraine,Kiev,Metals & Mining,True,Increased
1434,2,Raveendran Byju,41,Male,India,Bangalore,Technology,True,Decreased
1434,2,P.P. Reddy,65,Male,India,Hyderabad,Construction & Engineering,True,Increased
1434,2,Richard Saghian,41,Male,United States,Los Angeles,Fashion & Retail,True,Increased
1434,2,Shi Yifeng,49,Male,China,Beijing,Healthcare,True,Increased
1434,2,Thaksin Shinawatra,73,Male,Thailand,Dubai,Finance & Investments,True,Increased
1434,2,Shu Ping,53,Female,Singapore,Singapore,Food & Beverage,True,Increased
1434,2,Timothy Springer,75,Male,United States,Chestnut Hill,Healthcare,True,Remained Even
1434,2,Venu Srinivasan,70,Male,India,Chennai,Automotive,False,Increased
1434,2,Edward Stack,68,Male,United States,Sewickley,Fashion & Retail,True,Increased
1434,2,Sun Mengquan & family,73,Male,China,Yantai,Food & Beverage,True,Decreased
1434,2,Alexander Svetakov,55,Male,Russia,Moscow,Finance & Investments,True,Decreased
1434,2,Torsten Toeller,56,Male,Germany,Krefeld,Fashion & Retail,True,Decreased
1434,2,Hamdi Ulukaya,50,Male,Turkey,Norwich,Food & Beverage,True,Decreased
1434,2,Wang Linpeng,54,Male,China,Beijing,Construction & Engineering,True,Decreased
1434,2,Wei Ing-Chou,69,Male,Taiwan,Tianjin,Food & Beverage,True,Increased
1434,2,Wei Yin-Chun,66,Male,Taiwan,Taipei,Food & Beverage,True,Increased
1434,2,Wei Yin-Heng,64,Male,Taiwan,Shanghai,Food & Beverage,True,Increased
1434,2,Wei Ying-Chiao,68,Male,Taiwan,Taipei,Food & Beverage,True,Increased
1434,2,Elaine Wynn,80,Female,United States,Las Vegas,Gambling & Casinos,True,Increased
1434,2,Xu Xudong & family,53,Male,China,Ningbo,Automotive,True,Increased
1434,2,Michael Ying,73,Male,Hong Kong,Hong Kong,Fashion & Retail,True,Increased
1434,2,Yu Qibing & family,57,Male,China,Ningbo,Manufacturing,True,Decreased
1434,2,Yuan Fugen & family,72,Male,China,Suzhou,Manufacturing,True,Increased
1434,2,Zhang Ning & family,49,Female,Canada,Shanghai,Manufacturing,True,Decreased
1434,2,Zhao Tao,57,Male,Singapore,Xi'an,Healthcare,False,Decreased
1516,2,Anu Aga,80,Female,India,Pune,Construction & Engineering,False,Increased
1516,2,Mohamed Al Fayed,94,Male,Egypt,London,Fashion & Retail,True,Decreased
1516,2,Andrey Andreev,49,Male,United Kingdom,London,Technology,True,Remained Even
1516,2,Michael Ashcroft,77,Male,United Kingdom,Turks and Caicos Islands,Finance & Investments,True,Decreased
1516,2,Pavel Baudis,62,Male,Czech Republic,Prague,Technology,True,Decreased
1516,2,Cao Jianwei,44,Male,China,Shangyu,Manufacturing,True,Remained Even
1516,2,Huwen Chen,52,Male,China,Shanghai,Manufacturing,True,Decreased
1516,2,Phongthep Chiaravanont,71,Male,Thailand,Bangkok,Diversified,False,Increased
1516,2,Dou Zhenggang,69,Male,China,Hangzhou,Diversified,True,Decreased
1516,2,Maria Franca Fissolo,88,Female,Italy,Monaco,Food & Beverage,False,Remained Even
1516,2,William Franke,85,Male,United States,Houston,Diversified,True,Decreased
1516,2,Mario Germano Giuliani,51,Male,Switzerland,Monaco,Healthcare,False,Decreased
1516,2,Amy Goldman Fowler,68,Female,United States,Rhinebeck,Real Estate,False,Decreased
1516,2,John Hancock,47,Male,Australia,London,Metals & Mining,False,Decreased
1516,2,Hu Yangzhong,58,Male,China,Hangzhou,Technology,True,Decreased
1516,2,Huang Dawen,62,Male,Hong Kong,Hong Kong,Manufacturing,True,Decreased
1516,2,Huang Qiaoling,64,Male,China,Hangzhou,Media & Entertainment,True,Increased
1516,2,Michael Jordan,60,Male,United States,Jupiter,Sports,True,Increased
1516,2,Diane Kemper,77,Female,United States,New York,Real Estate,False,Decreased
1516,2,Shlomo Kramer,57,Male,Israel,Tel Aviv,Technology,True,Decreased
1516,2,Heikki Kyostila,77,Male,Finland,Helsinki,Healthcare,True,Increased
1516,2,Martin Lau,50,Male,Hong Kong,Hong Kong,Technology,True,Decreased
1516,2,Li Min,57,Male,China,Fuzhou,Technology,True,Decreased
1516,2,Liang Rubo,40,Male,China,Beijing,Technology,True,Decreased
1516,2,Liang Zhaoxian,58,Male,China,Foshan,Manufacturing,False,Decreased
1516,2,Lin Fanlian,61,Male,China,Linyi,Energy,True,Decreased
1516,2,Aloke Lohia,64,Male,India,Bangkok,Manufacturing,False,Decreased
1516,2,Bill Malhotra,73,Male,Canada,Ottawa,Real Estate,True,Increased
1516,2,Alexander Mamut,63,Male,Russia,Tel Aviv,Finance & Investments,True,Decreased
1516,2,Craig McCaw,73,Male,United States,Hunts Point,Telecom,False,Decreased
1516,2,Cunhui Nan,59,Male,China,Wenzhou,Manufacturing,True,Decreased
1516,2,Tengyun Nie & family,47,Male,China,Shanghai,Service,True,Decreased
1516,2,Oei Hong Leong,75,Male,Singapore,Singapore,Finance & Investments,False,Increased
1516,2,Clive Palmer,69,Male,Australia,Brisbane,Metals & Mining,True,Decreased
1516,2,Matthew Prince,48,Male,United States,Park City,Technology,True,Decreased
1516,2,Linda Pritzker,69,Female,United States,Missoula,Service,False,Remained Even
1516,2,P.V. Krishna Reddy,53,Male,India,Hyderabad,Construction & Engineering,True,Increased
1516,2,Bianca Rinehart,46,Female,Australia,Brisbane,Metals & Mining,False,Decreased
1516,2,Ginia Rinehart,36,Female,Australia,Sydney,Metals & Mining,False,Decreased
1516,2,T. Denny Sanford,87,Male,United States,Sioux Falls,Finance & Investments,True,Decreased
1516,2,Bhadresh Shah,71,Male,India,Ahmedabad,Manufacturing,True,Increased
1516,2,Zygmunt Solorz-Zak,66,Male,Poland,Warsaw,Media & Entertainment,True,Decreased
1516,2,Sylvia Stroeher,67,Female,Germany,Darmstadt,Fashion & Retail,False,Remained Even
1516,2,Otto Toto Sugiri,69,Male,Indonesia,Jakarta,Technology,True,Decreased
1516,2,Wichai Thongtang,76,Male,Thailand,Bangkok,Finance & Investments,True,Remained Even
1516,2,Ion Tiriac,83,Male,Romania,Bucharest,Finance & Investments,True,Increased
1516,2,Hope Welker,37,Female,Australia,New York,Metals & Mining,False,Decreased
1516,2,William Young,82,Male,United States,Ypsilanti,Manufacturing,True,Decreased
1516,2,Zhang Fan,57,Male,China,Shenzhen,Technology,True,Decreased
1516,2,Shilong Zhang & family,57,Male,China,Beijing,Technology,True,Decreased
1516,2,Zhang Wanzhen,73,Male,China,Chaozhou,Manufacturing,True,Decreased
1516,2,Hongfei Zhao,48,Male,China,Beijing,Technology,True,Decreased
1516,2,Zhou Jian,46,Male,China,Shenzhen,Energy,True,Decreased
1516,2,Zhu Yiwen & family,59,Male,China,Shanghai,Healthcare,True,Increased
1575,1,Roberto Angelini Rossi,74,Male,Chile,Santiago,Diversified,False,Increased
1575,1,Mika Anttonen,56,Male,Finland,Helsinki,Energy,True,Increased
1575,1,Julio Bozano,87,Male,Brazil,Rio de Janeiro,Finance & Investments,True,Decreased
1575,1,Nikolai Buinov,55,Male,Russia,Irkutsk,Energy,True,Increased
1575,1,Nicola Bulgari,82,Male,Italy,Rome,Fashion & Retail,False,Remained Even
1575,1,Jianxing Che,56,Male,China,Shanghai,Fashion & Retail,True,Decreased
1575,1,Huxiong Chen,52,Male,China,Shanghai,Manufacturing,True,Decreased
1575,1,Chen Zhisong,57,Male,China,Xiamen,Technology,True,Decreased
1575,1,Prathip Chiravanond,74,Male,Thailand,Bangkok,Diversified,False,Returned to List
1575,1,Alexandra Daitch,60,Female,United States,Old Lyme,Food & Beverage,False,Decreased
1575,1,Sol Daurella,57,Female,Spain,Madrid,Food & Beverage,False,Increased
1575,1,James Dinan,63,Male,United States,North Salem,Finance & Investments,True,Remained Even
1575,1,Dong Fan,53,Male,China,Zhuhai,Healthcare,True,Decreased
1575,1,Bulent Eczacibasi,73,Male,Turkey,Istanbul,Diversified,False,Increased
1575,1,Faruk Eczacibasi,68,Male,Turkey,Istanbul,Diversified,False,Increased
1575,1,Eduardo Eurnekian,90,Male,Argentina,Buenos Aires,Diversified,True,Increased
1575,1,Guo Zhenyu & family,59,Male,Canada,Kunming,Fashion & Retail,True,Decreased
1575,1,Surjit Kumar Gupta,81,Male,India,Delhi,Manufacturing,False,Increased
1575,1,Caroline Hagen Kjos,39,Female,Norway,Wollerau,Diversified,False,Decreased
1575,1,Roberto Hernandez Ramirez,81,Male,Mexico,Mexico City,Finance & Investments,True,Remained Even
1575,1,Reid Hoffman,55,Male,United States,Palo Alto,Technology,True,Decreased
1575,1,Hu Rongda & family,64,Male,China,Jinhua,Manufacturing,True,Increased
1575,1,"B. Wayne Hughes, Jr.",63,Male,United States,Jackson,Real Estate,False,Decreased
1575,1,Hui Wing Mau,72,Male,Hong Kong,Hong Kong,Real Estate,True,Decreased
1575,1,Scott Kapnick,64,Male,United States,Naples,Finance & Investments,True,Increased
1575,1,Richard Kayne,77,Male,United States,Santa Monica,Finance & Investments,True,Increased
1575,1,Dominika Kulczyk,45,Female,Poland,London,Finance & Investments,False,Increased
1575,1,Edward Lampert,60,Male,United States,Miami Beach,Finance & Investments,True,Increased
1575,1,James Leprino,85,Male,United States,Indian Hills,Food & Beverage,False,Decreased
1575,1,David Lichtenstein,61,Male,United States,Monsey,Real Estate,True,Remained Even
1575,1,Lin Dingqiang & family,56,Male,Hong Kong,Beijing,Real Estate,True,Remained Even
1575,1,Sarah MacMillan,69,Female,United States,Los Angeles,Food & Beverage,False,Decreased
1575,1,Strive Masiyiwa,62,Male,Zimbabwe,London,Telecom,True,Decreased
1575,1,Robert Miller,89,Male,United Kingdom,Hong Kong,Fashion & Retail,True,Decreased
1575,1,Simon Nixon,55,Male,United Kingdom,"St. Brelade, Jersey",Technology,True,Increased
1575,1,Kentaro Ogawa,74,Male,Japan,Tokyo,Food & Beverage,True,Increased
1575,1,Ajay Parekh,65,Male,India,Mumbai,Manufacturing,False,Decreased
1575,1,Narendrakumar Parekh,84,Male,India,Mumbai,Manufacturing,False,Decreased
1575,1,Jennifer Pritzker,72,Female,United States,Chicago,Finance & Investments,False,Decreased
1575,1,G. Rajendran,80,Male,India,Chennai,Fashion & Retail,True,Increased
1575,1,Ren Jianhua,66,Male,China,Hangzhou,Manufacturing,True,Decreased
1575,1,Larry Robbins,53,Male,United States,Alpine,Finance & Investments,True,Remained Even
1575,1,Dwight Schar,81,Male,United States,Palm Beach,Construction & Engineering,True,Remained Even
1575,1,Qinxiang Shao,68,Male,China,Hangzhou,Manufacturing,True,Increased
1575,1,Hua Shen,60,Male,United States,Jiaxing,Technology,True,Decreased
1575,1,Shi Wen-long,95,Male,Taiwan,Tainan,Manufacturing,True,Decreased
1575,1,Peter Sondakh,73,Male,Indonesia,Surabaya,Finance & Investments,True,Decreased
1575,1,Lucy Stitzer,63,Female,United States,Greenwich,Food & Beverage,False,Decreased
1575,1,Elizabeth Sy,70,Female,Philippines,Manila,Diversified,False,Decreased
1575,1,Mehmet Sinan Tara,64,Male,Turkey,Istanbul,Construction & Engineering,False,Increased
1575,1,Masateru Uno & family,76,Male,Japan,Fukuoka,Fashion & Retail,True,Decreased
1575,1,Vardis Vardinoyannis & family,90,Male,Greece,Athens,Energy,True,Increased
1575,1,Jitendra Virwani,57,Male,India,Bangalore,Real Estate,False,Decreased
1575,1,Wang Chaobin,67,Male,China,Zhengzhou,Real Estate,True,Remained Even
1575,1,Wang Ren-sheng,91,Male,Taiwan,Zhengzhou,Fashion & Retail,True,Decreased
1575,1,Charlotte Colket Weber,80,Female,United States,Hobe Sound,Food & Beverage,False,Increased
1575,1,Xie Juhua & family,72,Female,China,Nanjing,Healthcare,False,Decreased
