rank,net_worth,full_name,age,gender,country_of_citizenship,city_of_residence,business_category,self_made,wealth_status
141,12,Sarath Ratanavadi,57,Male,Thailand,Bangkok,Energy,True,Increased
142,12,Dang Yanbao,50,Male,China,Yinchuan,Metals & Mining,True,Decreased
142,12,Jiang Rensheng & family,69,Male,China,Chongqing,Healthcare,True,Decreased
144,12,Shahid Khan,72,Male,United States,Naples,Automotive,True,Increased
145,12,Laurene Powell Jobs & family,59,Female,United States,Palo Alto,Technology,False,Decreased
146,11,Robert Kuok,99,Male,Malaysia,Hong Kong,Diversified,True,Increased
147,11,Stephen Ross,82,Male,United States,New York,Real Estate,True,Increased
148,11,Pavel Durov,38,Male,United Arab Emirates,Dubai,Technology,True,Decreased
148,11,Andreas Struengmann & family,73,Male,Germany,Tegernsee,Healthcare,True,Decreased
148,11,Thomas Struengmann & family,73,Male,Germany,Tegernsee,Healthcare,True,Decreased
151,11,Liu Hanyuan,59,Male,China,Chengdu,Food & Beverage,True,Decreased
151,11,Michael Rubin,50,Male,United States,Bryn Mawr,Fashion & Retail,True,Increased
153,11,Israel Englander,74,Male,United States,New York,Finance & Investments,True,Decreased
153,11,Viatcheslav Kantor,69,Male,Russia,Herzliya,Manufacturing,True,Increased
153,11,Anthony Pratt,62,Male,Australia,Melbourne,Manufacturing,False,Decreased
153,11,Mikhail Prokhorov,57,Male,Russia,Frauenfeld,Finance & Investments,True,Increased
157,11,Giorgio Armani,88,Male,Italy,Milan,Fashion & Retail,True,Increased
157,11,Johann Rupert & family,72,Male,South Africa,Cape Town,Fashion & Retail,False,Increased
159,11,Gong Hongjia & family,58,Male,Hong Kong,Hong Kong,Finance & Investments,True,Decreased
159,11,Zhang Zhidong,51,Male,China,Shenzhen,Technology,True,Decreased
161,10,Philip Anschutz,83,Male,United States,Denver,Finance & Investments,False,Remained Even
161,10,Judy Love & family,85,Female,United States,Oklahoma City,Fashion & Retail,True,Increased
161,10,Ricardo Salinas Pliego & family,67,Male,Mexico,Mexico City,Fashion & Retail,False,Decreased
164,10,Donald Newhouse,93,Male,United States,New York,Media & Entertainment,False,Decreased
165,10,Robert Kraft,81,Male,United States,Brookline,Sports,True,Increased
165,10,Marcel Herrmann Telles,73,Male,Brazil,Sao Paulo,Food & Beverage,True,Increased
167,10,Suleiman Kerimov & family,57,Male,Russia,Moscow,Finance & Investments,True,Increased
167,10,Chris Xu,39,Male,China,Guangzhou,Fashion & Retail,True,Increased
167,10,Changpeng Zhao,45,Male,Canada,Dubai,Finance & Investments,True,Decreased
170,10,Andrew Beal,70,Male,United States,Dallas,Finance & Investments,True,Increased
171,10,Mike Cannon-Brookes,43,Male,Australia,Sydney,Technology,True,Decreased
171,10,Carl Cook,60,Male,United States,Bloomington,Healthcare,False,Decreased
171,10,David Duffield,82,Male,United States,Incline Village,Technology,True,Decreased
171,10,Jeffery Hildebrand,64,Male,United States,Houston,Energy,True,Increased
171,10,Viktor Rashnikov,74,Male,Russia,Magnitogorsk,Manufacturing,True,Increased
171,10,Eduardo Saverin,41,Male,Brazil,Singapore,Technology,True,Decreased
171,10,Georg Schaeffler,58,Male,Germany,Herzogenaurach,Automotive,False,Increased
171,10,Christy Walton,74,Female,United States,Jackson,Fashion & Retail,False,Increased
179,10,Scott Farquhar,43,Male,Australia,Sydney,Technology,True,Decreased
179,10,Quek Leng Chan,81,Male,Malaysia,Kuala Lumpur,Diversified,False,Decreased
179,10,Wu Yajun,59,Female,China,Beijing,Real Estate,True,Decreased
182,10,Autry Stephens,85,Male,United States,Midland,Energy,True,Increased
183,9,Liu Yongxing,74,Male,China,Shanghai,Service,True,Decreased
184,9,Nicolas Puech,80,Male,France,Martigny,Fashion & Retail,False,Increased
184,9,Melker Schorling & family,75,Male,Sweden,Stockholm,Finance & Investments,True,Decreased
190,9,Andrei Guriev & family,63,Male,Russia,Moscow,Manufacturing,True,Increased
190,9,Michael Kim,59,Male,United States,Seoul,Finance & Investments,True,Increased
190,9,Lei Jun,53,Male,China,Beijing,Technology,True,Decreased
190,9,Friedhelm Loh,76,Male,Germany,Haiger,Manufacturing,False,Increased
190,9,Sun Piaoyang,64,Male,China,Lianyungang,Healthcare,True,Decreased
195,9,Jin Baofang,70,Male,China,Xingtai,Energy,True,Decreased
195,9,Luo Liguo & family,67,Male,China,Ningbo,Manufacturing,True,Decreased
195,9,Marijke Mars,58,Female,United States,Los Angeles,Food & Beverage,False,Increased
195,9,Pamela Mars,62,Female,United States,Alexandria,Food & Beverage,False,Increased
195,9,Valerie Mars,64,Female,United States,New York,Food & Beverage,False,Increased
195,9,Victoria Mars,66,Female,United States,Philadelphia,Food & Beverage,False,Increased
202,9,Vincent Bolloré & family,71,Male,France,Paris,Finance & Investments,False,Increased
202,9,Jim Pattison,94,Male,Canada,Vancouver,Diversified,True,Decreased
204,9,Ernesto Bertarelli,57,Male,Switzerland,Gstaad,Healthcare,False,Increased
